id,followers,genres,name,popularity
7goaQP1sgbWsKOjrHenxFJ,57018.0,"['opm', 'pinoy indie', 'pinoy rock']",Ang Bandang Shirley,36
5kUrUkpqUuCYX0eLEhvcQ3,110460.0,"['opm', 'pinoy indie', 'pinoy rock']",Kjwan,37
1WUdtysXvz9qXuD6toSJqA,120966.0,"['opm', 'pinoy indie', 'pinoy pop punk', 'pinoy rock']",Chicosci,38
2BaKphge9AdjZIxQqv7WoQ,126332.0,"['a cappella', 'hollywood', 'post-teen pop']",The Barden Bellas,60
3xNrKoP8hKOaNJgMFkSVxW,14322.0,['tagalog worship'],Philippine Madrigal Singers,38
4iCXhwhRhgWLl57sj9hhbY,28590.0,"['opm', 'pinoy pop punk', 'pinoy rock']",Hilera,34
0Qgkq6NFpku5ud0itbMYpw,669.0,['indie pop rap'],iSH,35
3oZR0tAkfIn1YmLe1faQST,26625.0,['worship'],Brenton Brown,37
6sQgicoGb163CprPKieoqx,187.0,['schranz'],Andre Frauenstein,24
0dO1E4DyMS2l0d2787m6ql,956.0,[],Jun Mallillin,29
